Arc,Meanshift_MC_value,Meanshift_Lib_value,Meanshift_Final_Status,Meanshift_rel_err,Std_MC_value,Std_Lib_value,Std_Final_Status,Std_rel_err,Skew_MC_value,Skew_Lib_value,Skew_Final_Status,Skew_rel_err
comb_AND3X2_A_Z_fall_0_4,67.1335,66.8245,Pass,-0.004603,66.8959,67.1049,Pass,0.003124,109.2599,109.5736,Pass,0.002871
comb_INVX1_A_Z_rise_0_0,96.5808,96.6339,Pass,0.00055,53.5223,53.1373,Pass,-0.007193,90.1279,89.7441,Pass,-0.004258
comb_NAND2X1_A_Z_fall_5_6,84.95,85.183,Pass,0.002743,49.5211,49.763,Pass,0.004885,103.7019,103.6978,Pass,-4e-05
comb_NOR2X1_A_Z_rise_5_0,51.4108,51.5371,Pass,0.002457,118.5313,118.2759,Pass,-0.002155,82.4861,82.38,Pass,-0.001286
comb_AOI22X1_A_Z_fall_0_3,84.3747,84.2509,Pass,-0.001467,92.9025,93.2595,Pass,0.003843,100.69,100.4272,Pass,-0.00261
comb_OAI21X2_A_Z_rise_0_6,72.8633,73.2354,Pass,0.005107,66.206,65.8152,Pass,-0.005903,68.2598,68.2195,Pass,-0.00059
comb_DFFX1_A_Z_fall_4_4,41.2964,41.6955,Pass,0.009664,58.8505,58.5119,Pass,-0.005754,51.8706,51.9714,Pass,0.001943
comb_MUX2X1_A_Z_rise_6_6,105.5441,105.9435,Pass,0.003784,78.2639,78.4416,Pass,0.002271,66.3272,66.4435,Pass,0.001753
comb_XOR2X1_A_Z_fall_2_2,52.7716,52.8671,Pass,0.00181,84.803,85.1116,Pass,0.003639,97.4715,97.7327,Pass,0.00268
comb_BUFX4_A_Z_rise_3_6,106.8225,107.0262,Pass,0.001907,102.637,102.5428,Pass,-0.000918,53.0466,52.7716,Pass,-0.005184
comb_AND3X2_A_Z_fall_6_2,96.0052,96.0232,Pass,0.000187,106.8365,107.1274,Pass,0.002723,94.2839,94.2108,Pass,-0.000775
comb_INVX1_A_Z_rise_5_3,84.0481,84.0862,Pass,0.000453,49.8093,49.88,Pass,0.001419,57.5235,57.5154,Pass,-0.000141
comb_NAND2X1_A_Z_fall_4_2,75.9441,76.1702,Pass,0.002977,100.9358,100.8738,Pass,-0.000614,62.5907,62.4538,Pass,-0.002187
comb_NOR2X1_A_Z_rise_4_5,66.4345,66.7326,Pass,0.004487,61.0543,61.0054,Pass,-0.000801,110.7536,110.4808,Pass,-0.002463
comb_AOI22X1_A_Z_fall_5_5,113.5303,113.5004,Pass,-0.000263,115.9033,116.2103,Pass,0.002649,113.7015,113.6748,Pass,-0.000235
comb_OAI21X2_A_Z_rise_2_4,64.7848,64.4034,Pass,-0.005887,114.2317,114.2276,Pass,-3.6e-05,116.5862,116.5809,Pass,-4.5e-05
comb_DFFX1_A_Z_fall_5_0,65.8346,66.0673,Pass,0.003535,74.5145,74.4943,Pass,-0.000271,43.1765,43.0688,Pass,-0.002494
comb_MUX2X1_A_Z_rise_0_0,98.4639,98.4325,Pass,-0.000319,51.3379,51.146,Pass,-0.003738,115.6605,115.511,Pass,-0.001293
comb_XOR2X1_A_Z_fall_0_0,111.7906,112.0963,Pass,0.002735,43.9512,43.7878,Pass,-0.003718,88.3579,88.6782,Pass,0.003625
comb_BUFX4_A_Z_rise_6_1,41.0832,41.1518,Pass,0.00167,104.0129,104.1003,Pass,0.00084,53.4388,53.6711,Pass,0.004347
comb_AND3X2_A_Z_fall_1_6,103.6822,103.5174,Pass,-0.001589,62.8132,63.1749,Pass,0.005758,97.4079,97.1586,Pass,-0.002559
