Arc,Nominal_MC_value,Nominal_Lib_value,Nominal_Final_Status,Nominal_rel_err,Nominal_Base_Pass,Nominal_Waiver1_CI_Enlarged,Early_Sigma_MC_value,Early_Sigma_Lib_value,Early_Sigma_Final_Status,Early_Sigma_rel_err,Early_Sigma_Base_Pass,Early_Sigma_Waiver1_CI_Enlarged,Late_Sigma_MC_value,Late_Sigma_Lib_value,Late_Sigma_Final_Status,Late_Sigma_rel_err,Late_Sigma_Base_Pass,Late_Sigma_Waiver1_CI_Enlarged
comb_AND3X2_A_Z_fall_2_3,52.3865,52.4876,Pass,0.00193,Pass,Pass,44.5538,44.4285,Pass,-0.002812,Pass,Pass,56.9861,56.8041,Pass,-0.003194,Pass,Pass
comb_INVX1_A_Z_rise_3_5,73.2058,72.8883,Pass,-0.004337,Pass,Pass,55.0424,55.4355,Pass,0.007142,Pass,Pass,44.0734,44.3209,Pass,0.005616,Pass,Pass
comb_NAND2X1_A_Z_fall_1_5,64.9767,65.0806,Pass,0.001599,Pass,Pass,57.5277,57.7417,Pass,0.00372,Pass,Pass,114.3044,114.1961,Pass,-0.000947,Pass,Pass
comb_NOR2X1_A_Z_rise_4_3,90.6487,90.757,Pass,0.001195,Pass,Pass,105.3803,105.0886,Pass,-0.002768,Pass,Pass,108.8229,108.5594,Pass,-0.002421,Pass,Pass
comb_AOI22X1_A_Z_fall_3_6,97.1853,97.1986,Pass,0.000137,Pass,Pass,78.6238,78.9403,Pass,0.004025,Pass,Pass,97.1556,97.2059,Pass,0.000518,Pass,Pass
comb_OAI21X2_A_Z_rise_3_5,106.3583,106.5553,Pass,0.001852,Pass,Pass,88.2083,88.1476,Pass,-0.000688,Pass,Pass,105.4698,105.2765,Pass,-0.001833,Pass,Pass
comb_DFFX1_A_Z_fall_3_4,66.8076,66.4324,Pass,-0.005616,Pass,Pass,108.3902,108.2881,Pass,-0.000942,Pass,Pass,64.3204,64.4001,Pass,0.001239,Pass,Pass
comb_MUX2X1_A_Z_rise_2_3,66.3505,66.4661,Pass,0.001742,Pass,Pass,96.6328,96.2808,Pass,-0.003643,Pass,Pass,93.5515,93.5929,Pass,0.000443,Pass,Pass
comb_XOR2X1_A_Z_fall_5_4,49.988,49.9572,Pass,-0.000616,Pass,Pass,93.0876,93.1307,Pass,0.000463,Pass,Pass,56.4288,56.2902,Pass,-0.002456,Pass,Pass
comb_BUFX4_A_Z_rise_4_2,107.1815,106.9614,Pass,-0.002054,Pass,Pass,89.0012,88.9321,Pass,-0.000776,Pass,Pass,94.28,93.9665,Pass,-0.003325,Pass,Pass
comb_AND3X2_A_Z_fall_5_5,64.0527,64.4161,Pass,0.005673,Pass,Pass,108.131,108.1899,Pass,0.000545,Pass,Pass,60.032,60.0485,Pass,0.000275,Pass,Pass
