Arc,Nominal_MC_value,Nominal_Lib_value,Nominal_Final_Status,Nominal_rel_err,Nominal_Base_Pass,Nominal_Waiver1_CI_Enlarged,Early_Sigma_MC_value,Early_Sigma_Lib_value,Early_Sigma_Final_Status,Early_Sigma_rel_err,Early_Sigma_Base_Pass,Early_Sigma_Waiver1_CI_Enlarged,Late_Sigma_MC_value,Late_Sigma_Lib_value,Late_Sigma_Final_Status,Late_Sigma_rel_err,Late_Sigma_Base_Pass,Late_Sigma_Waiver1_CI_Enlarged
comb_MUX2X1_A_Z_rise_6_5,94.3709,94.0566,Pass,-0.00333,Pass,Pass,58.7724,59.0179,Pass,0.004177,Pass,Pass,119.7311,119.9027,Pass,0.001433,Pass,Pass
comb_XOR2X1_A_Z_fall_6_0,73.6266,73.4097,Pass,-0.002946,Pass,Pass,114.7042,114.5889,Pass,-0.001005,Pass,Pass,52.295,52.078,Pass,-0.00415,Pass,Pass
comb_BUFX4_A_Z_rise_3_1,110.4302,110.7249,Pass,0.002669,Pass,Pass,111.0845,110.9261,Pass,-0.001426,Pass,Pass,69.7002,69.5697,Pass,-0.001872,Pass,Pass
comb_AND3X2_A_Z_fall_0_4,76.8465,76.9437,Pass,0.001265,Pass,Pass,115.5975,115.5916,Pass,-5.1e-05,Pass,Pass,72.4285,72.7864,Pass,0.004941,Pass,Pass
comb_INVX1_A_Z_rise_0_0,58.9968,58.7129,Pass,-0.004812,Pass,Pass,71.8726,71.5803,Pass,-0.004067,Pass,Pass,102.2393,102.1087,Pass,-0.001277,Pass,Pass
comb_NAND2X1_A_Z_fall_5_6,83.5554,83.7565,Pass,0.002407,Pass,Pass,61.1465,61.3736,Pass,0.003714,Pass,Pass,104.7643,104.6986,Pass,-0.000627,Pass,Pass
comb_NOR2X1_A_Z_rise_5_0,104.07,104.2535,Pass,0.001763,Pass,Pass,73.8511,73.599,Pass,-0.003414,Pass,Pass,115.1536,114.872,Pass,-0.002445,Pass,Pass
comb_AOI22X1_A_Z_fall_0_3,83.9634,83.7231,Pass,-0.002862,Pass,Pass,40.27,40.1662,Pass,-0.002578,Pass,Pass,91.1898,91.1258,Pass,-0.000702,Pass,Pass
comb_OAI21X2_A_Z_rise_0_6,69.7086,69.4541,Pass,-0.003651,Pass,Pass,83.6709,83.4018,Pass,-0.003216,Pass,Pass,63.8645,64.1144,Pass,0.003913,Pass,Pass
comb_DFFX1_A_Z_fall_4_4,42.6758,42.9982,Pass,0.007555,Pass,Pass,74.2163,74.2332,Pass,0.000228,Pass,Pass,71.7589,72.0506,Pass,0.004065,Pass,Pass
comb_MUX2X1_A_Z_rise_6_6,44.2133,44.5174,Pass,0.006878,Pass,Pass,80.4895,80.2675,Pass,-0.002758,Pass,Pass,40.3449,40.2286,Pass,-0.002883,Pass,Pass
comb_XOR2X1_A_Z_fall_2_2,99.9126,99.8155,Pass,-0.000972,Pass,Pass,51.8413,51.4772,Pass,-0.007023,Pass,Pass,40.591,40.9168,Pass,0.008026,Pass,Pass
comb_BUFX4_A_Z_rise_3_6,112.8809,113.0067,Pass,0.001114,Pass,Pass,89.3759,89.7278,Pass,0.003937,Pass,Pass,77.1054,76.8975,Pass,-0.002696,Pass,Pass
comb_AND3X2_A_Z_fall_6_2,89.7612,89.7248,Pass,-0.000406,Pass,Pass,81.8526,82.2073,Pass,0.004333,Pass,Pass,107.7495,107.3533,Pass,-0.003677,Pass,Pass
comb_INVX1_A_Z_rise_5_3,77.4756,77.3652,Pass,-0.001425,Pass,Pass,119.0143,119.1217,Pass,0.000902,Pass,Pass,89.692,89.511,Pass,-0.002018,Pass,Pass
comb_NAND2X1_A_Z_fall_4_2,46.3399,46.1901,Pass,-0.003233,Pass,Pass,86.2983,86.0701,Pass,-0.002644,Pass,Pass,119.8627,119.7313,Pass,-0.001096,Pass,Pass
comb_NOR2X1_A_Z_rise_4_5,88.7523,88.4473,Pass,-0.003437,Pass,Pass,71.1462,70.8052,Pass,-0.004793,Pass,Pass,95.7985,95.9541,Pass,0.001624,Pass,Pass
comb_AOI22X1_A_Z_fall_5_5,115.7743,115.7617,Pass,-0.000109,Pass,Pass,96.2427,96.4948,Pass,0.002619,Pass,Pass,81.8268,82.2153,Pass,0.004748,Pass,Pass
comb_OAI21X2_A_Z_rise_2_4,57.6243,57.6691,Pass,0.000777,Pass,Pass,64.2485,64.5056,Pass,0.004002,Pass,Pass,115.2019,115.3043,Pass,0.000889,Pass,Pass
comb_DFFX1_A_Z_fall_5_0,87.242,87.3605,Pass,0.001358,Pass,Pass,97.9169,98.0891,Pass,0.001759,Pass,Pass,83.1151,82.9537,Pass,-0.001942,Pass,Pass
comb_MUX2X1_A_Z_rise_0_0,93.6732,93.5844,Pass,-0.000948,Pass,Pass,68.9637,69.182,Pass,0.003165,Pass,Pass,118.3198,118.4877,Pass,0.001419,Pass,Pass
comb_XOR2X1_A_Z_fall_0_0,119.6991,119.775,Pass,0.000634,Pass,Pass,66.9815,66.9225,Pass,-0.000881,Pass,Pass,75.2659,75.262,Pass,-5.2e-05,Pass,Pass
comb_BUFX4_A_Z_rise_6_1,111.0925,111.2898,Pass,0.001776,Pass,Pass,84.5948,84.3125,Pass,-0.003337,Pass,Pass,53.4254,53.6475,Pass,0.004157,Pass,Pass
comb_AND3X2_A_Z_fall_1_6,73.1326,73.3489,Pass,0.002958,Pass,Pass,84.3445,84.3679,Pass,0.000277,Pass,Pass,83.4904,83.1122,Pass,-0.00453,Pass,Pass
